loan_id,loan_amount,region
210973,22400.000000000,West
211120,22400.000000000,West
211239,22400.000000000,West
210972,22400.000000000,West
211048,22400.000000000,West
211212,22400.000000000,West
211042,22400.000000000,West
211039,22400.000000000,West
211061,22400.000000000,West
211224,22400.000000000,West
211174,22400.000000000,West
210984,22400.000000000,West
211022,22400.000000000,West
210983,22400.000000000,West
211019,22400.000000000,West
211095,22400.000000000,West
210989,22400.000000000,West
211219,22400.000000000,West
211218,22400.000000000,West
211165,22400.000000000,West
211238,22400.000000000,West
210988,22400.000000000,West
211079,22400.000000000,West
211030,22400.000000000,West
211050,22400.000000000,West
211103,22400.000000000,West
211016,22400.000000000,West
211269,22400.000000000,West
211234,22400.000000000,West
211116,22400.000000000,West
211074,22400.000000000,West
211180,22400.000000000,West
210965,22400.000000000,West
211065,22400.000000000,West
211045,22400.000000000,West
211211,22400.000000000,West
211087,22400.000000000,West
211251,22400.000000000,West
210981,22400.000000000,West
210997,22400.000000000,West
211151,22400.000000000,West
211096,22400.000000000,West
211109,22400.000000000,West
211046,22400.000000000,West
210970,22400.000000000,West
211020,22400.000000000,West
211001,22400.000000000,West
211032,22400.000000000,West
211043,22400.000000000,West
210996,22400.000000000,West
211075,22400.000000000,West
211027,22400.000000000,West
211017,22400.000000000,West
211209,22400.000000000,West
211029,22400.000000000,West
210980,22400.000000000,West
211172,22400.000000000,West
211200,22400.000000000,West
211155,22400.000000000,West
211051,22400.000000000,West
211106,22400.000000000,West
211181,22400.000000000,West
211104,22400.000000000,West
211044,22400.000000000,West
211242,22400.000000000,West
185030,19200.000000000,West
185388,19200.000000000,West
185384,19200.000000000,West
184721,19200.000000000,West
185360,19200.000000000,West
184569,19200.000000000,West
184637,19200.000000000,West
184860,19200.000000000,West
185083,19200.000000000,West
185318,19200.000000000,West
184687,19200.000000000,West
185229,19200.000000000,West
184751,19200.000000000,West
185402,19200.000000000,West
184911,19200.000000000,West
184870,19200.000000000,West
184590,19200.000000000,West
184908,19200.000000000,West
184587,19200.000000000,West
185359,19200.000000000,West
184748,19200.000000000,West
184887,19200.000000000,West
184584,19200.000000000,West
184868,19200.000000000,West
185011,19200.000000000,West
185055,19200.000000000,West
185429,19200.000000000,West
185394,19200.000000000,West
184872,19200.000000000,West
184718,19200.000000000,West
184749,19200.000000000,West
184933,19200.000000000,West
184898,19200.000000000,West
184855,19200.000000000,West
185134,19200.000000000,West
185331,19200.000000000,West
185244,19200.000000000,West
185224,19200.000000000,West
184594,19200.000000000,West
184657,19200.000000000,West
184779,19200.000000000,West
184934,19200.000000000,West
185046,19200.000000000,West
184670,19200.000000000,West
184784,19200.000000000,West
184633,19200.000000000,West
184808,19200.000000000,West
184620,19200.000000000,West
185176,19200.000000000,West
184788,19200.000000000,West
185161,19200.000000000,West
185241,19200.000000000,West
184986,19200.000000000,West
184715,19200.000000000,West
